Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
NIFTY 50,"16,562.80","16,588.00","16,490.95","16,520.85",180.3,1.1,"2,843.57","22,061.66","18,604.45","15,183.40",4.88,7.63
ONGC,135,136.6,132.2,132.65,4.75,3.71,603.17,807.28,194.95,108.5,15.75,-1.3
TECHM,"1,021.25","1,051.70","1,017.25","1,044.00",36.3,3.6,55.75,579.12,"1,838.00",943.7,-4.59,6.6
TCS,"3,107.80","3,171.95","3,098.05","3,161.00",86.75,2.82,34.02,"1,069.35","4,043.00","2,953.00",-0.74,1.56
HCLTECH,904.6,918.8,895.1,914.5,24.8,2.79,48.27,439.22,"1,377.75",877.35,-8.57,-4.74
RELIANCE,"2,540.00","2,542.50","2,486.25","2,499.00",61.9,2.54,110.41,"2,767.61","2,856.15","2,016.25",19.06,-1.73
CIPLA,965.7,982.95,958.85,982.05,21.4,2.23,16.27,158.9,"1,083.00",850,0.83,6.07
APOLLOHOSP,"4,090.00","4,141.70","4,030.05","4,100.00",79.8,1.98,7.53,308.69,"5,935.40","3,361.55",5.57,7.56
SBIN,501,510.6,500.4,507.4,9.45,1.9,192.8,978.41,549,401.25,18.58,16.72
INFY,"1,501.25","1,525.80","1,500.00","1,512.00",27.85,1.88,50.79,769.85,"1,953.90","1,367.15",-1.93,6.92
HINDUNILVR,"2,575.00","2,618.00","2,535.60","2,610.00",42.05,1.64,40.13,"1,042.22","2,859.30","1,901.55",8.36,18.86
WIPRO,410.8,417.5,407.1,411.7,6.05,1.49,126.19,520.46,739.85,391,-28.25,-0.71
TITAN,"2,280.00","2,298.00","2,261.10","2,269.00",27.8,1.24,16.2,369.87,"2,768.00","1,662.50",35.03,15.66
NESTLEIND,"18,550.00","18,660.00","18,250.00","18,593.75",216.05,1.18,0.55,101.24,"20,609.15","16,000.00",4.74,9.59
HDFCBANK,"1,359.90","1,371.10","1,355.25","1,363.55",15.5,1.15,101.74,"1,387.88","1,725.00","1,271.60",-7.3,3.13
INDUSINDBK,886,897.45,872.8,878,9.9,1.14,39.96,353.16,"1,242.00",763.2,-13.57,11.98
ITC,294.9,299.5,293.6,297.8,3.2,1.09,157.89,469.67,299.5,204.35,43.35,12.76
BRITANNIA,"3,805.00","3,849.00","3,793.85","3,828.50",41.05,1.08,4.4,168.66,"4,153.00","3,050.00",10.97,13.32
SBILIFE,"1,175.00","1,199.00","1,163.50","1,179.90",9.95,0.85,16.08,190.99,"1,293.25","1,003.50",13.69,9.66
TATAMOTORS,454.35,460.75,451.75,452.75,3.7,0.82,171.54,783.81,536.7,268.45,46.59,18.3
TATACONSUM,791,801.2,787.5,793.3,6.05,0.77,11.73,93.16,889,650.2,3.62,10.66
TATASTEEL,935.95,938,925.2,926.5,7.05,0.77,77.09,718.14,"1,534.50",827,-26.84,7.56
JSWSTEEL,595.5,599.95,587,589,4.15,0.71,45.5,269.84,790,520.05,-15.66,7.02
HEROMOTOCO,"2,820.00","2,838.75","2,810.00","2,820.45",19.25,0.69,2.02,56.95,"2,954.45","2,146.85",-2.31,15
LT,"1,740.35","1,746.85","1,727.95","1,740.50",10.7,0.62,15.1,262.43,"2,078.55","1,456.35",8.13,18.26
AXISBANK,706.3,714.5,702.7,703.95,3.35,0.48,116.2,823.37,866.9,618.25,-6.79,12.04
HDFC,"2,243.00","2,252.70","2,224.00","2,227.00",9.3,0.42,25.11,562.88,"3,021.10","2,026.00",-10.26,4.3
MARUTI,"8,775.50","8,865.45","8,720.20","8,739.95",24.1,0.28,3.98,350.37,"9,050.00","6,536.55",21.97,14.08
SHREECEM,"20,290.00","20,375.00","20,112.95","20,121.00",52.8,0.26,0.2,39.82,"31,469.95","17,865.20",-28.13,9.27
HINDALCO,375,376.2,367.4,368.5,0.55,0.15,101.5,376.48,636,308.95,-7.17,14.62
UPL,693,697.5,685.15,685.2,0.85,0.12,16.25,112.35,849,607.5,-17.77,6.99
BPCL,319.4,320.85,316.25,316.9,0.35,0.11,33.62,106.84,503,293.35,-30.18,7.04
ICICIBANK,789.5,789.55,780.3,781.25,0.6,0.08,81.52,639.88,867,639.1,19.11,13.89
ULTRACEMCO,"6,111.00","6,145.00","6,077.00","6,090.00",4.15,0.07,3.71,226.95,"8,269.00","5,157.05",-16.72,14.19
BAJAJ-AUTO,"4,018.00","4,055.00","3,999.00","4,004.65",2.65,0.07,3.78,151.84,"4,055.00","3,027.05",3.14,10.75
GRASIM,"1,464.85","1,464.95","1,438.00","1,441.50",-0.7,-0.05,8.07,117.03,"1,929.80","1,276.60",-7.53,9.54
